customer_key,customer_id,customer_number,first_name,last_name,country,gender,marital_status,birthdate,create_date
1,11000,AW00011000,JON,YANG,AUSTRALIA,MALE,MARRIED,1971-10-06,2025-10-06
2,11001,AW00011001,EUGENE,HUANG,AUSTRALIA,MALE,SINGLE,1976-05-10,2025-10-06
3,11002,AW00011002,RUBEN,TORRES,AUSTRALIA,MALE,MARRIED,1971-02-09,2025-10-06
4,11003,AW00011003,CHRISTY,ZHU,AUSTRALIA,FEMALE,SINGLE,1973-08-14,2025-10-06
5,11004,AW00011004,ELIZABETH,JOHNSON,AUSTRALIA,FEMALE,SINGLE,1979-08-05,2025-10-06
6,11005,AW00011005,JULIO,RUIZ,AUSTRALIA,MALE,SINGLE,1976-08-01,2025-10-06
7,11006,AW00011006,JANET,ALVAREZ,AUSTRALIA,FEMALE,SINGLE,1976-12-02,2025-10-06
8,11007,AW00011007,MARCO,MEHTA,AUSTRALIA,MALE,MARRIED,1969-11-06,2025-10-06
9,11008,AW00011008,ROB,VERHOFF,AUSTRALIA,FEMALE,SINGLE,1975-07-04,2025-10-06
10,11009,AW00011009,SHANNON,CARLSON,AUSTRALIA,MALE,SINGLE,1969-09-29,2025-10-06
11,11010,AW00011010,JACQUELYN,SUAREZ,AUSTRALIA,FEMALE,SINGLE,1969-08-05,2025-10-06
12,11011,AW00011011,CURTIS,LU,AUSTRALIA,MALE,MARRIED,1969-05-03,2025-10-06
13,11012,AW00011012,LAUREN,WALKER,UNITED STATES,FEMALE,MARRIED,1979-01-14,2025-10-06
14,11013,AW00011013,IAN,JENKINS,UNITED STATES,MALE,MARRIED,1979-08-03,2025-10-06
15,11014,AW00011014,SYDNEY,BENNETT,UNITED STATES,FEMALE,SINGLE,1973-11-06,2025-10-06
16,11015,AW00011015,CHLOE,YOUNG,UNITED STATES,FEMALE,SINGLE,1984-08-26,2025-10-06
17,11016,AW00011016,WYATT,HILL,UNITED STATES,MALE,MARRIED,1984-10-25,2025-10-07
18,11017,AW00011017,SHANNON,WANG,AUSTRALIA,FEMALE,SINGLE,1949-12-24,2025-10-07
19,11018,AW00011018,CLARENCE,RAI,AUSTRALIA,MALE,SINGLE,1955-10-06,2025-10-07
20,11019,AW00011019,LUKE,LAL,CANADA,MALE,SINGLE,1983-09-04,2025-10-07
21,11020,AW00011020,JORDAN,KING,CANADA,MALE,SINGLE,1984-03-19,2025-10-07
22,11021,AW00011021,DESTINY,WILSON,UNITED STATES,FEMALE,SINGLE,1984-03-02,2025-10-07
23,11022,AW00011022,ETHAN,ZHANG,UNITED STATES,MALE,MARRIED,1984-04-10,2025-10-07
24,11023,AW00011023,SETH,EDWARDS,UNITED STATES,MALE,MARRIED,1984-04-09,2025-10-07
25,11024,AW00011024,RUSSELL,XIE,UNITED STATES,MALE,MARRIED,1984-03-16,2025-10-07
26,11025,AW00011025,ALEJANDRO,BECK,AUSTRALIA,MALE,MARRIED,1951-06-22,2025-10-07
27,11026,AW00011026,HAROLD,SAI,AUSTRALIA,MALE,SINGLE,1951-10-01,2025-10-07
28,11027,AW00011027,JESSIE,ZHAO,AUSTRALIA,MALE,MARRIED,1952-06-05,2025-10-07
29,11028,AW00011028,JILL,JIMENEZ,AUSTRALIA,FEMALE,MARRIED,1951-10-09,2025-10-07
30,11029,AW00011029,JIMMY,MORENO,AUSTRALIA,MALE,MARRIED,1952-06-19,2025-10-07
31,11030,AW00011030,BETHANY,YUAN,AUSTRALIA,FEMALE,MARRIED,1958-02-18,2025-10-07
32,11031,AW00011031,THERESA,RAMOS,AUSTRALIA,FEMALE,MARRIED,1953-02-18,2025-10-07
33,11032,AW00011032,DENISE,STONE,AUSTRALIA,FEMALE,MARRIED,1952-12-08,2025-10-07
34,11033,AW00011033,JAIME,NATH,AUSTRALIA,MALE,MARRIED,1958-09-19,2025-10-07
35,11034,AW00011034,EBONY,GONZALEZ,AUSTRALIA,FEMALE,MARRIED,1952-12-16,2025-10-07
36,11035,AW00011035,WENDY,DOMINGUEZ,AUSTRALIA,FEMALE,MARRIED,1953-08-23,2025-10-07
37,11036,AW00011036,JENNIFER,RUSSELL,UNITED STATES,FEMALE,MARRIED,1984-06-16,2025-10-07
38,11037,AW00011037,CHLOE,GARCIA,CANADA,FEMALE,SINGLE,1983-05-27,2025-10-07
39,11038,AW00011038,DIANA,HERNANDEZ,AUSTRALIA,FEMALE,MARRIED,1953-09-20,2025-10-07
40,11039,AW00011039,MARC,MARTIN,AUSTRALIA,MALE,MARRIED,1954-06-16,2025-10-07
41,11040,AW00011040,JESSE,MURPHY,UNITED STATES,MALE,MARRIED,1983-01-29,2025-10-07
42,11041,AW00011041,AMANDA,CARTER,UNITED STATES,FEMALE,MARRIED,1983-04-15,2025-10-07
43,11042,AW00011042,MEGAN,SANCHEZ,UNITED STATES,FEMALE,MARRIED,1982-12-11,2025-10-07
44,11043,AW00011043,NATHAN,SIMMONS,UNITED STATES,MALE,MARRIED,1981-08-23,2025-10-07
45,11044,AW00011044,ADAM,FLORES,AUSTRALIA,MALE,MARRIED,1954-11-21,2025-10-07
46,11045,AW00011045,LEONARD,NARA,AUSTRALIA,MALE,SINGLE,1955-11-16,2025-10-07
47,11046,AW00011046,CHRISTINE,YUAN,AUSTRALIA,FEMALE,MARRIED,1955-09-19,2025-10-07
48,11047,AW00011047,JACLYN,LU,AUSTRALIA,FEMALE,MARRIED,1955-08-27,2025-10-07
49,11048,AW00011048,JEREMY,POWELL,AUSTRALIA,MALE,MARRIED,1956-05-21,2025-10-07
50,11049,AW00011049,CAROL,RAI,UNITED STATES,FEMALE,SINGLE,1986-01-15,2025-10-07
51,11050,AW00011050,ALAN,ZHENG,AUSTRALIA,MALE,MARRIED,1957-03-06,2025-10-07
52,11051,AW00011051,DANIEL,JOHNSON,AUSTRALIA,MALE,SINGLE,1957-01-31,2025-10-07
53,11052,AW00011052,HEIDI,LOPEZ,AUSTRALIA,FEMALE,SINGLE,1957-02-03,2025-10-07
54,11053,AW00011053,ANA,PRICE,UNITED STATES,FEMALE,MARRIED,1986-02-17,2025-10-07
55,11054,AW00011054,DEANNA,MUNOZ,AUSTRALIA,FEMALE,MARRIED,1957-09-07,2025-10-07
56,11055,AW00011055,GILBERT,RAJE,AUSTRALIA,MALE,MARRIED,1957-09-02,2025-10-07
57,11056,AW00011056,MICHELE,NATH,AUSTRALIA,FEMALE,MARRIED,1958-10-01,2025-10-07
58,11057,AW00011057,CARL,ANDERSEN,AUSTRALIA,MALE,MARRIED,1970-04-07,2025-10-07
59,11058,AW00011058,MARC,DIAZ,AUSTRALIA,MALE,MARRIED,1965-04-23,2025-10-07
60,11059,AW00011059,ASHLEE,ANDERSEN,AUSTRALIA,FEMALE,SINGLE,1959-09-29,2025-10-07
61,11060,AW00011060,JON,ZHOU,AUSTRALIA,MALE,MARRIED,1959-09-14,2025-10-07
62,11061,AW00011061,TODD,GAO,AUSTRALIA,MALE,MARRIED,1976-02-20,2025-10-07
63,11062,AW00011062,NOAH,POWELL,UNITED STATES,MALE,MARRIED,1981-03-01,2025-10-07
64,11063,AW00011063,ANGELA,MURPHY,UNITED STATES,FEMALE,SINGLE,1980-10-04,2025-10-07
65,11064,AW00011064,CHASE,REED,UNITED STATES,MALE,MARRIED,1981-06-05,2025-10-07
66,11065,AW00011065,JESSICA,HENDERSON,UNITED STATES,FEMALE,MARRIED,1979-04-08,2025-10-07
67,11066,AW00011066,GRACE,BUTLER,UNITED STATES,FEMALE,MARRIED,1979-05-27,2025-10-07
